datetime,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY.1,BID.1,ASK.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1
2022-12-12 13:38:18.000,33616.0,14071.0,653447.0,9.64,26.0,-19.6,425.0,26.0,27.95,25,44400,25.0,794.3,811.85,75.0,-42.8,804.55,15.78,16415.0,1636.0,1783.0
2022-12-12 13:43:21.600,52647.0,17114.0,1008842.0,10.22,22.35,-14.1,475.0,21.0,22.35,275,44500,275.0,892.0,904.3,25.0,-46.25,902.35,16.93,25964.0,719.0,2474.0
2022-12-12 13:48:25.200,26866.0,16350.0,488400.0,10.53,17.4,-10.95,25.0,15.5,17.35,25,44600,25.0,982.6,1062.0,250.0,-23.75,995.8,17.75,2067.0,386.0,428.0
2022-12-12 13:53:28.800,16618.0,9722.0,462153.0,10.68,12.65,-10.25,25.0,12.6,14.0,1025,44700,25.0,1079.7,1140.85,675.0,-46.0,1079.5,17.82,903.0,285.0,293.0
2022-12-12 13:58:32.400,19687.0,10910.0,400910.0,10.86,9.3,-9.85,150.0,11.0,11.55,50,44800,1300.0,1176.4,1194.85,125.0,-24.2,1178.3,18.87,1446.0,359.0,407.0
2022-12-12 14:03:36.000,11058.0,6121.0,247097.0,11.95,10.7,-5.4,25.0,9.5,11.1,125,44900,175.0,1275.85,1338.2,75.0,-12.95,1275.55,19.79,187.0,64.0,74.0
2022-12-12 14:08:39.600,55401.0,10270.0,689357.0,12.34,8.9,-5.3,150.0,8.9,9.7,425,45000,125.0,1377.5,1384.0,25.0,-13.1,1385.8,21.69,2512.0,330.0,580.0
2022-12-12 14:13:43.200,9006.0,3304.0,161961.0,12.79,7.7,-4.35,900.0,7.65,9.9,50,45100,750.0,1417.7,1497.6,50.0,-2173.25,1437.2,18.43,55.0,26.0,26.0
2022-12-12 14:18:46.800,9869.0,5670.0,184588.0,13.55,7.75,-2.95,10000.0,6.35,7.75,475,45200,750.0,1460.6,1622.5,50.0,-2072.45,1619.75,26.46,25.0,11.0,11.0
2022-12-12 14:23:50.400,6459.0,1862.0,114759.0,13.94,6.65,-3.05,850.0,6.65,7.25,625,45300,1725.0,1594.95,1729.85,50.0,-178.9,1633.45,19.92,11.0,4.0,5.0
2022-12-12 14:28:54.000,4043.0,4043.0,81244.0,15.11,8.05,-335.0,25.0,6.8,8.05,75,45400,2475.0,1687.05,1808.05,50.0,-2029.6,1828.0,29.31,12.0,6.0,6.0
